"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 04","1,715.62","1,706.05","1,715.87","1,700.51","","0.86%"
"2023- 09- 01","1,701.01","1,682.39","1,706.80","1,681.63","","0.87%"
"2023- 08- 31","1,686.41","1,688.93","1,692.20","1,679.62","","0.06%"
"2023- 08- 30","1,685.41","1,694.97","1,700.01","1,685.41","","0.39%"
"2023- 08- 29","1,678.86","1,679.36","1,684.15","1,675.34","","0.24%"
"2023- 08- 28","1,674.83","1,673.07","1,675.34","1,666.27","","0.74%"
"2023- 08- 25","1,662.50","1,659.48","1,669.29","1,654.69","","-1.11%"
"2023- 08- 24","1,681.13","1,676.09","1,682.39","1,673.57","","1.29%"
"2023- 08- 23","1,659.73","1,656.20","1,663.25","1,651.42","","-0.11%"
"2023- 08- 22","1,661.49","1,668.54","1,674.33","1,655.70","","0.32%"
"2023- 08- 21","1,656.20","1,654.95","1,668.79","1,654.95","","0.14%"
"2023- 08- 18","1,653.94","1,647.65","1,664.76","1,642.86","","-0.76%"
"2023- 08- 17","1,666.53","1,660.23","1,666.53","1,642.61","","-0.41%"
"2023- 08- 16","1,673.32","1,685.15","1,685.66","1,668.04","","-1.45%"
"2023- 08- 14","1,697.99","1,707.81","1,712.09","1,690.69","","-0.94%"
"2023- 08- 11","1,714.10","1,714.86","1,731.22","1,711.08","","0.00%"
"2023- 08- 10","1,714.10","1,717.63","1,718.89","1,711.08","","-0.60%"
"2023- 08- 09","1,724.43","1,706.05","1,727.95","1,704.79","","0.99%"
"2023- 08- 08","1,707.56","1,723.92","1,728.71","1,701.77","","-0.53%"
"2023- 08- 07","1,716.62","1,718.89","1,732.99","1,712.85","","-0.39%"
"2023- 08- 04","1,723.42","1,730.47","1,730.97","1,719.14","","-0.12%"
"2023- 08- 03","1,725.43","1,735.00","1,741.04","1,717.63","","-0.61%"
"2023- 08- 02","1,736.01","1,764.96","1,767.22","1,734.50","","-2.14%"
"2023- 08- 01","1,774.02","1,746.33","1,776.79","1,746.08","","1.47%"
"2023- 07- 31","1,748.34","1,747.84","1,754.64","1,743.06","","0.58%"
"2023- 07- 28","1,738.27","1,737.77","1,741.54","1,725.68","","-0.32%"
"2023- 07- 27","1,743.81","1,728.71","1,746.08","1,724.17","","1.14%"
"2023- 07- 26","1,724.17","1,744.82","1,747.59","1,719.89","","-1.14%"
"2023- 07- 25","1,744.06","1,748.09","1,750.10","1,733.49","","0.12%"
"2023- 07- 24","1,742.05","1,728.45","1,748.09","1,722.16","","0.54%"
"2023- 07- 21","1,732.73","1,717.38","1,732.73","1,706.55","","0.25%"
"2023- 07- 20","1,728.45","1,725.18","1,736.76","1,722.41","","-0.32%"
"2023- 07- 19","1,733.99","1,748.09","1,749.10","1,730.22","","-0.35%"
"2023- 07- 18","1,740.03","1,753.63","1,756.40","1,736.01","","-0.66%"
"2023- 07- 17","1,751.61","1,747.84","1,757.15","1,745.57","","-0.09%"
"2023- 07- 14","1,753.12","1,739.53","1,758.41","1,736.26","","1.32%"
"2023- 07- 13","1,730.22","1,729.46","1,736.51","1,728.20","","0.84%"
"2023- 07- 12","1,715.87","1,705.80","1,717.38","1,701.01","","0.58%"
"2023- 07- 11","1,706.05","1,686.67","1,706.80","1,685.15","","1.80%"
"2023- 07- 10","1,675.84","1,679.36","1,688.18","1,671.81","","0.00%"
"2023- 07- 07","1,675.84","1,692.20","1,692.46","1,672.57","","-1.55%"
"2023- 07- 06","1,702.27","1,712.09","1,715.36","1,700.26","","-0.73%"
"2023- 07- 05","1,714.86","1,728.96","1,736.76","1,714.86","","-0.94%"
"2023- 07- 04","1,731.22","1,739.03","1,741.80","1,731.22","","-0.55%"
"2023- 07- 03","1,740.79","1,722.41","1,741.04","1,722.41","","1.54%"
