"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 29","14.34","13.71","14.50","13.70","98.72K","4.47%"
"2024- 05- 28","13.73","13.45","14.00","13.20","89.09K","2.22%"
"2024- 05- 24","13.43","13.85","13.95","13.35","64.37K","-3.10%"
"2024- 05- 23","13.86","13.55","14.05","13.25","111.84K","15.47%"
"2024- 05- 22","12.00","12.30","12.47","12.00","6.20K","-1.62%"
"2024- 05- 21","12.20","12.59","13.00","12.05","79.51K","-2.98%"
"2024- 05- 20","12.57","12.65","12.80","12.40","53.51K","-0.62%"
"2024- 05- 17","12.65","12.91","13.00","12.60","72.51K","-1.44%"
"2024- 05- 16","12.83","12.90","13.10","12.75","63.54K","-0.34%"
"2024- 05- 15","12.88","13.60","13.66","12.85","69.37K","-4.71%"
"2024- 05- 14","13.52","13.80","13.95","13.45","51.43K","-2.19%"
"2024- 05- 13","13.82","13.55","13.90","13.40","72.21K","1.98%"
"2024- 05- 10","13.55","13.80","13.87","13.52","61.76K","-1.88%"
"2024- 05- 09","13.81","14.00","14.06","13.78","52.30K","-0.72%"
"2024- 05- 08","13.91","14.10","14.25","13.85","59.75K","-1.32%"
"2024- 05- 07","14.10","14.20","14.35","14.05","73.14K","-0.71%"
"2024- 05- 06","14.20","14.55","14.60","14.15","49.72K","-2.69%"
"2024- 05- 03","14.59","15.05","15.07","14.45","98.14K","-3.77%"
"2024- 05- 02","15.16","15.75","15.86","14.95","86.83K","-3.47%"
"2024- 05- 01","15.71","15.85","16.15","14.99","117.32K","0.29%"
"2024- 04- 30","15.66","15.20","15.85","15.00","99.98K","3.27%"
"2024- 04- 29","15.17","15.45","15.50","15.00","67.34K","-1.48%"
"2024- 04- 26","15.40","15.60","15.71","15.30","88.31K","-3.78%"
"2024- 04- 25","16.00","16.00","16.85","15.60","113.55K","2.41%"
"2024- 04- 24","15.63","15.75","16.10","15.55","98.76K","-1.07%"
"2024- 04- 23","15.79","16.30","16.45","15.65","81.23K","-4.10%"
"2024- 04- 22","16.47","17.70","17.70","16.20","123.95K","-7.66%"
"2024- 04- 19","17.84","17.35","19.70","17.10","152.82K","2.60%"
"2024- 04- 18","17.38","17.20","17.65","16.75","99.12K","-3.59%"
