"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 10- 25","5,846.00","5,853.25","5,900.75","5,835.00","1.65K","-0.05%"
"2024- 10- 24","5,849.00","5,844.00","5,870.00","5,822.50","2.55K","0.19%"
"2024- 10- 23","5,837.75","5,887.25","5,893.75","5,801.00","1.88K","-0.93%"
"2024- 10- 22","5,892.50","5,900.75","5,904.25","5,861.25","1.15K","-0.06%"
"2024- 10- 21","5,896.25","5,911.50","5,915.50","5,865.00","1.33K","-0.17%"
"2024- 10- 18","5,906.00","5,888.25","5,915.50","5,876.25","3.76K","0.32%"
"2024- 10- 17","5,887.00","5,882.75","5,927.25","5,871.25","1.85K","0.00%"
"2024- 10- 16","5,887.00","5,861.00","5,892.75","5,853.25","1.51K","0.41%"
"2024- 10- 15","5,862.75","5,914.25","5,915.50","5,850.00","5.15K","-0.77%"
"2024- 10- 14","5,908.25","5,854.50","5,918.50","5,850.00","2.23K","0.83%"
"2024- 10- 11","5,859.75","5,831.00","5,868.25","5,816.00","1.25K","0.53%"
"2024- 10- 10","5,829.00","5,836.00","5,844.00","5,811.50","3.72K","-0.21%"
"2024- 10- 09","5,841.25","5,799.25","5,846.50","5,780.75","2.43K","0.70%"
"2024- 10- 08","5,800.50","5,752.50","5,806.75","5,725.25","4.70K","0.97%"
"2024- 10- 07","5,744.75","5,802.00","5,808.00","5,734.25","3.89K","-0.95%"
"2024- 10- 04","5,800.00","5,745.75","5,804.75","5,741.00","1.75K","0.88%"
"2024- 10- 03","5,749.50","5,769.50","5,772.75","5,725.75","2.75K","-0.19%"
"2024- 10- 02","5,760.25","5,760.25","5,773.25","5,724.00","2.06K","0.01%"
"2024- 10- 01","5,759.75","5,807.00","5,822.50","5,733.00","1.98K","-0.94%"
"2024- 09- 30","5,814.25","5,784.00","5,820.25","5,756.25","1.45K","0.40%"
"2024- 09- 27","5,791.25","5,804.25","5,821.50","5,782.00","2.10K","-0.23%"
"2024- 09- 26","5,804.50","5,783.50","5,830.00","5,778.25","1.73K","0.44%"
