"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 19","17,589.00","16,917.00","17,029.50","16,910.75","496.52K","0.47%"
"2023- 12- 18","17,507.00","16,820.25","16,974.00","16,802.25","463.44K","4.12%"
"2023- 12- 16","16,815.00","16,815.00","16,815.00","16,815.00","","-3.30%"
"2023- 12- 15","17,388.00","16,532.50","16,612.50","16,521.50","12.65K","0.39%"
"2023- 12- 14","17,319.75","16,561.50","16,674.50","16,418.75","131.88K","-0.15%"
"2023- 12- 13","17,345.50","16,383.00","16,593.00","16,365.50","155.14K","1.16%"
"2023- 12- 12","17,146.00","16,240.00","16,389.50","16,185.25","253.67K","0.80%"
"2023- 12- 11","17,010.00","16,093.00","16,248.00","16,045.50","394.18K","5.69%"
"2023- 12- 09","16,094.00","16,094.00","16,094.00","16,094.00","","-4.54%"
"2023- 12- 08","16,859.00","16,017.50","16,118.75","15,888.25","0.00K","0.38%"
"2023- 12- 07","16,796.00","15,814.50","16,066.00","15,791.00","632.33K","1.35%"
"2023- 12- 06","16,572.00","15,897.00","16,037.75","15,802.00","675.48K","-0.56%"
"2023- 12- 05","16,665.00","15,863.25","15,961.00","15,761.25","683.59K","0.24%"
"2023- 12- 04","16,625.00","16,022.00","16,026.00","15,721.25","721.02K","3.71%"
"2023- 12- 02","16,030.25","16,030.25","16,030.25","16,030.25","","-4.59%"
"2023- 12- 01","16,801.00","15,955.00","16,050.00","15,864.00","621.71K","0.23%"
"2023- 11- 30","16,763.00","16,040.25","16,098.50","15,856.00","694.12K","-0.24%"
"2023- 11- 29","16,803.00","16,055.50","16,208.50","16,013.50","634.33K","-0.15%"
"2023- 11- 28","16,828.00","16,005.25","16,071.50","15,945.25","598.22K","0.23%"
"2023- 11- 27","16,789.50","16,008.00","16,089.25","15,938.75","502.56K","-0.07%"
"2023- 11- 24","16,802.00","16,036.75","16,086.50","15,981.75","296.60K","4.59%"
"2023- 11- 23","16,065.00","16,045.75","16,086.25","16,038.50","71.68K","-4.55%"
"2023- 11- 22","16,831.00","15,967.25","16,173.50","15,942.75","624.55K","0.37%"
"2023- 11- 21","16,769.50","16,087.50","16,122.50","15,912.00","575.45K","-0.59%"
"2023- 11- 20","16,868.50","15,895.00","16,116.75","15,837.25","559.49K","6.26%"
"2023- 11- 18","15,874.25","15,874.25","15,874.25","15,874.25","","-4.68%"
"2023- 11- 17","16,654.00","15,897.75","15,940.00","15,825.00","562.42K","0.16%"
"2023- 11- 16","16,627.50","15,846.75","15,906.75","15,796.75","634.46K","0.04%"
"2023- 11- 15","16,620.50","15,895.00","16,049.50","15,832.25","685.07K","0.09%"
"2023- 11- 14","16,605.50","15,558.00","15,918.75","15,552.00","656.10K","2.09%"
"2023- 11- 13","16,266.25","15,586.25","15,601.25","15,465.25","532.94K","-0.30%"
"2023- 11- 10","16,315.25","15,254.75","15,612.75","15,207.25","679.63K","2.13%"
"2023- 11- 09","15,974.25","15,356.25","15,453.75","15,236.75","710.43K","-0.81%"
"2023- 11- 08","16,105.50","15,373.00","15,417.50","15,286.75","547.84K","0.07%"
"2023- 11- 07","16,093.50","15,215.00","15,412.25","15,176.00","585.12K","0.89%"
"2023- 11- 06","15,951.50","15,187.00","15,257.50","15,138.00","496.13K","0.34%"
"2023- 11- 03","15,898.00","14,928.00","15,228.50","14,925.50","633.84K","1.15%"
